;Mean D1;Var D1;Mean D1 non anti;Var D1 non anti;Mean D2;Var D2;N
8;0.0067593828125;0.005494431837749452;0.0067669765625;0.01104670021573722;-0.01265876171875;0.036706497939104896;128000000
16;0.00210566796875;0.002404044678036294;0.0021017421875;0.00481627799230104;-0.002543763671875;0.014638498504696144;128000000
32;0.0008996953125;0.0013782452358394913;0.00089753125;0.0027549444376527062;-0.000305673828125;0.007939247872098794;128000000
64;0.0004113046875;0.0008720417659570019;0.000410859375;0.001743753069564352;-8.305078125e-05;0.004928276305664622;128000000
128;0.00020185546875;0.0005837151137447801;0.0002017890625;0.0011623264686702823;-6.720703125e-06;0.00326578462279399;128000000
256;9.868359375e-05;0.0004015742459245264;9.7890625e-05;0.0008026154174276445;2.2265625e-06;0.002234396479413083;128000000
