;J;K;R;q1;q2;q3;Cost;Epsilon
0;22302293.39235259;10;3;0.4842531442470308;0.1526594492683445;0.3630874064846245;499999960.0;4.795429503664301e-05
25;6299848.586476361;38;2;0.5692901223279375;0.4307098776720626;0.0;500000054.0;5.8179543879739415e-05
50;4705605.737505309;39;2;0.5575324015089985;0.4424675984910015;0.0;500000104.0;6.596418551852538e-05
75;3722395.160695499;41;2;0.5531204879596721;0.4468795120403279;0.0;500000035.0;7.283600734291789e-05
100;3080703.6833333327;43;2;0.5511497097554698;0.4488502902445301;0.0;499999997.0;7.903728418955158e-05
