;J;K;R;q1;q2;q3;q4;q5;q6;q7
0.005;300.00000000000034;10;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0025;3438.9912108056674;10;2;0.6789461756887735;0.3210538243112266;0.0;0.0;0.0;0.0;0.0
0.00125;25851.12706818808;10;3;0.5701119493230514;0.2695892961323597;0.16029875454458883;0.0;0.0;0.0;0.0
0.000625;162596.8096414304;10;4;0.5205008245727626;0.24612964365946202;0.14634956172645827;0.08701997004131706;0.0;0.0;0.0
0.0003125;930867.6786984827;10;5;0.49489383770182244;0.23402084717693894;0.1391496282608901;0.08273886398891712;0.04919682287143133;0.0;0.0
0.00015625;5040855.701148708;10;6;0.48082835531950197;0.22736969120710815;0.1351948272597323;0.08038732524441874;0.047798589568350314;0.02842121140088852;0.0
7.8125e-05;26349771.612273794;10;7;0.47283770385763674;0.22359114542184416;0.13294809049363254;0.07905140757052674;0.04700424816692518;0.02794889317773052;0.016618511311704068
