;J;K;R;q1;q2
0.005;289.2857142857147;9;1;1.0;0.0
0.0025;1223.2804232804247;17;1;1.0;0.0
0.00125;4751.5151515151565;35;1;1.0;0.0
0.000625;85730.73080395217;10;2;0.513942856221444;0.486057143778556
0.0003125;314557.84888407437;14;2;0.5349190491056299;0.46508095089437
0.00015625;1133890.6210422262;20;2;0.5570190523224186;0.4429809476775814
7.8125e-05;4046692.2800237658;29;2;0.5798027150321491;0.420197284967851
