calib_budget_requested,J_train,K,total_budget_used,n_trials,quantile_level,n_quantile_samples,ref_quantile,proxy_quantile_mean,proxy_quantile_std,quantile_rmse,quantile_rmse_lower,quantile_rmse_upper,quantile_rmse_pct,quantile_rmse_pct_lower,quantile_rmse_pct_upper,quantile_bias,quantile_bias_pct,quantile_variance,proxy_probability_mean,proxy_probability_std,probability_rmse,probability_rmse_lower,probability_rmse_upper,probability_rmse_pct,probability_rmse_pct_lower,probability_rmse_pct_upper,probability_bias,probability_bias_pct,probability_variance,example_poly_csv
10000,4096,2,8192,250,0.995,500000,252.75873881492225,253.28692818513525,5.1139136039519135,5.141118201275912,4.632316292700035,5.603912783347609,2.034002157702012,1.832702724510728,2.2170995193368834,0.5281893702130113,0.2089697759568929,26.15211234868445,0.9948910240000002,0.0006301265709553,0.0006394804641269,0.0005526262413052,0.0007158734283522,0.0642693933795913,0.0555403257593223,0.0719470782263579,-0.0001089759999999,-0.0109523618090444,3.97059495424e-07,outputs\lsmc_ml2r_v2\polynomials\poly_budget_10000.csv
100000,32768,2,65536,250,0.995,500000,252.75873881492225,252.53330465701896,2.802662539112958,2.811714400094126,2.483676445965085,3.105290171167839,1.1124103614684318,0.982627329765128,1.2285589751425483,-0.2254341579033191,-0.0891894614446501,7.854917308147093,0.99499768,0.0003859231343156,0.0003859301076619,0.0003279277899018,0.0004362882769569,0.0387869454936676,0.0329575668243114,0.0438480680358728,-2.3199999999947707e-06,-0.0002331658291452,1.4893666559999738e-07,outputs\lsmc_ml2r_v2\polynomials\poly_budget_100000.csv
1000000,262144,2,524288,250,0.995,500000,252.75873881492225,251.70386623709777,1.88432128755244,2.1594959759558225,1.938157612065604,2.3601675387842573,0.8543704506838325,0.7668014254038443,0.9337629827756202,-1.0548725778245,-0.4173436624863484,3.550666714723285,0.995132352,0.0002501746032194,0.0002830271789069,0.0002520148708381,0.0003109618511593,0.0284449426037092,0.0253281277224231,0.0312524473526993,0.000132352,0.0133017085427139,6.258733209600126e-08,outputs\lsmc_ml2r_v2\polynomials\poly_budget_1000000.csv
10000000,4194304,2,8388608,250,0.995,500000,252.75873881492225,251.57172229548857,0.9744742415147978,1.5357761115423825,1.406991270769294,1.6545670411160402,0.6076055446165701,0.5566538578907597,0.6546032983364287,-1.1870165194336595,-0.4696243243652317,0.9496000473758404,0.9951518,0.0001341451452718,0.0002025787748013,0.0001825274855414,0.0002208167498672,0.0203596758594283,0.0183444709086839,0.0221926381776125,0.0001518,0.0152562814070355,1.799491999999958e-08,outputs\lsmc_ml2r_v2\polynomials\poly_budget_10000000.csv
100000000,33554432,2,67108864,250,0.995,500000,252.75873881492225,251.9293180351554,0.7870532751974846,1.14341230005111,1.0582389054900931,1.2226666735964753,0.4523730041588599,0.4186754968202972,0.4837287443864599,-0.8294207797668697,-0.3281472219934588,0.6194528579990874,0.995102736,9.78380820744148e-05,0.000141869573905,0.0001313965993722,0.0001516208616035,0.0142582486336734,0.0132056883791241,0.0152382775480947,0.000102736,0.0103252261306536,9.572290303999929e-09,outputs\lsmc_ml2r_v2\polynomials\poly_budget_100000000.csv
