calib_budget_requested,J,q,K,R,total_budget_used,n_trials,quantile_level,n_quantile_samples,ref_quantile,quantile_rmse,quantile_rmse_lower,quantile_rmse_upper,quantile_rmse_pct,quantile_rmse_pct_lower,quantile_rmse_pct_upper,quantile_bias,quantile_bias_pct,quantile_variance,probability_rmse,probability_rmse_lower,probability_rmse_upper,probability_rmse_pct,probability_rmse_pct_lower,probability_rmse_pct_upper,probability_bias,probability_bias_pct,probability_variance
10000,713.9999992817305,[1.],14,1,9996.0,250,0.995,500000,252.75873881492225,23.10544363986469,20.655612642791656,25.319334863713795,9.141303579926156,8.172066667066389,10.017194650687584,17.82791016282218,7.053330874497015,216.02714502130536,0.0037111040447578,0.0033182382420932,0.004066187579385,0.3729752808801811,0.3334912806123908,0.4086620682799023,0.0028485154061624,0.2862829553932105,5.658253211872923e-06
100000,3448.0000117702957,[1.],29,1,100021.0,250,0.995,500000,252.75873881492225,10.91392851574617,9.85849800443571,11.875928948514805,4.317923315695006,3.9003589156434297,4.698523581893137,8.688130985874073,3.437321703142296,43.63021561911221,0.0016557474347802,0.0014855843481298,0.0018099829502386,0.1664067773648494,0.1493049596110374,0.181907834194835,0.0013169962307915,0.1323614302303043,1.0070204958622926e-06
1000000,15873.000093775794,[1.],63,1,1000062.0,250,0.995,500000,252.75873881492225,5.350818780144524,4.838880325235087,5.8178828137001375,2.1169668772807726,1.9144265191077183,2.301753379913867,4.24900048373168,1.6810498832417935,10.577256507195267,0.00074608575225,0.0006816853385937,0.0008053527168683,0.0749834926884451,0.0685110893059051,0.0809399715445619,0.0006005846037545,0.060360261683876,1.959420834434622e-07
10000000,428842.2043336132,[0.54259166 0.45740834],16,2,9999984.0,250,0.995,500000,252.75873881492225,1.961218076584743,1.796756454112847,2.1129171617574944,0.7759249337055789,0.7108582921947902,0.835942279053955,1.5883430600889008,0.6284028269550492,1.3235426673901851,0.0002552049653337,0.0002329507793846,0.0002756684295418,0.0256487402345454,0.0234121386316249,0.0277053698031979,0.0002051335843573,0.02061644063893,2.304978689969308e-08
100000000,2694372.6640551416,[0.57252424 0.42747576],26,2,100000004.0,250,0.995,500000,252.75873881492225,0.66327848998184,0.5987699109430453,0.7220466081178121,0.2624156510242413,0.2368938513265344,0.2856663280973707,0.5093730087857368,0.2015253799627143,0.1804774931931556,8.895267333100281e-05,8.039089946000554e-05,9.675980296319066e-05,0.008939967168945,0.0080794873829151,0.0097246033128834,6.866665763014978e-05,0.0069011716211205,3.1974682226358917e-09
