;S1;coef
0;0;-40.5292563764837
1;1;-56.30735965379834
2;2;29.265746580485434
3;3;19.59690462683811
4;4;-676.2129243620157
5;5;331.3919863288358
6;6;2562.596710215181
7;7;-1980.0812498349837
8;8;-4133.695419917229
9;9;3625.5207634621365
10;10;3661.362351714042
11;11;-3376.206851116415
12;12;-1914.830344189769
13;13;1800.2161581942305
14;14;590.107350226763
15;15;-557.1202022176199
16;16;-99.1827792295433
17;17;93.25235473570552
18;18;7.016540315221484
19;19;-6.537892963617673
